"Carritos",,,"Panal",,,"1_cp",,,"2_ca",,,"3_pa",,,"hexagonal",,,"Panal",,,"lluvia",,
"Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento"
"seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm"
"0.89","109.3864","0.1387396","0.89","37.14561","0.1387083","0.89","124.4545","0.13875","0.89","55.36079","0.1387292","0.89","64.22997","0.1387083","0.89","1.859665","0.1387188","0.89","2.384186","0.1387083","0.89","2.0504","0.13875"
"0.9","109.9586","0.140375","0.9","38.38539","0.1403646","0.9","125.6466","0.1403958","0.9","53.16734","0.1404063","0.9","64.84985","0.1404063","0.9","1.859665","0.140375","0.9","2.384186","0.1403854","0.9","2.145767","0.1404063"
"0.91","109.3388","0.1420521","0.91","40.24506","0.1420625","0.91","126.6003","0.1420417","0.91","57.64961","0.1420729","0.91","62.75177","0.1420937","0.91","1.955032","0.1420417","0.91","2.527237","0.1420833","0.91","2.145767","0.1420521"
"0.92","109.8156","0.1437396","0.92","38.62381","0.14375","0.92","130.9872","0.1437083","0.92","58.84171","0.1437292","0.92","64.32533","0.1437604","0.92","1.955032","0.1437396","0.92","2.527237","0.14375","0.92","2.241135","0.1437083"
"0.93","111.9614","0.1454167","0.93","39.33907","0.1454167","0.93","132.9422","0.1453958","0.93","58.65097","0.145375","0.93","64.65912","0.1454062","0.93","2.098083","0.1454271","0.93","2.574921","0.1454167","0.93","2.241135","0.1453958"
"0.94","113.5826","0.1470833","0.94","37.4794","0.1470833","0.94","133.5144","0.1470729","0.94","59.98611","0.1470312","0.94","66.51878","0.1470521","0.94","2.098083","0.1470937","0.94","2.622604","0.1470521","0.94","2.384186","0.1470833"
"0.95","114.727","0.1487292","0.95","40.62653","0.1487187","0.95","136.6615","0.1487396","0.95","60.55832","0.1487187","0.95","67.18636","0.1487083","0.95","2.193451","0.1487396","0.95","2.670288","0.1487083","0.95","2.384186","0.1487604"
"0.96","114.2502","0.150375","0.96","42.77229","0.150375","0.96","136.7569","0.1503854","0.96","62.56104","0.1504167","0.96","66.32805","0.1504062","0.96","2.193451","0.1503854","0.96","2.717972","0.1503854","0.96","2.43187","0.1504271"
"0.97","115.0608","0.1520521","0.97","44.48891","0.1520521","0.97","135.7555","0.1520312","0.97","64.37302","0.1520938","0.97","68.47382","0.1520833","0.97","2.288818","0.1520417","0.97","2.765656","0.1520729","0.97","2.479553","0.1520729"
"0.98","117.7311","0.15375","0.98","45.49026","0.1537396","0.98","140.7623","0.1536979","0.98","64.89754","0.15375","0.98","69.42749","0.15375","0.98","2.384186","0.1537292","0.98","2.861023","0.1537604","0.98","2.527237","0.1537083"
"0.99","118.7801","0.1554271","0.99","45.1088","0.1554063","0.99","143.4326","0.1553958","0.99","64.46838","0.1553958","0.99","70.19043","0.1553958","0.99","2.43187","0.1554167","0.99","2.908707","0.1554271","0.99","2.574921","0.155375"
"1","118.9232","0.1570937","1","44.72733","0.1570729","1","143.1942","0.1570937","1","63.65776","0.1570417","1","71.57326","0.1570417","1","2.527237","0.1570833","1","2.95639","0.1570729","1","2.622604","0.1570625"
